epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9981,1.11321,2.30001,1.39721,0.35276,0.48544,0.34751,0.17318,1.71958,3.49035,2.47934,0.000546249,0.000546249,0.000546249
2,41.9458,1.41046,1.75647,1.62842,0.23038,0.37258,0.19789,0.07389,2.09021,14.9822,3.07552,0.00109101,0.00109101,0.00109101
3,55.3229,1.51384,1.83475,1.71699,0.44607,0.46286,0.36946,0.15815,1.97671,5.26056,2.78274,0.00162476,0.00162476,0.00162476
4,70.5491,1.55992,1.84437,1.76668,0.40144,0.5123,0.39587,0.17724,1.85619,5.61383,2.63486,0.00161749,0.00161749,0.00161749
5,95.1441,1.43144,1.71576,1.68069,0.52802,0.55461,0.50312,0.24832,1.72963,3.66821,2.33454,0.00160099,0.00160099,0.00160099
6,119.204,1.42442,1.68925,1.64781,0.55906,0.61932,0.60739,0.30424,1.71858,1.97345,2.09608,0.00158448,0.00158448,0.00158448
7,142.786,1.36731,1.5908,1.61192,0.46481,0.55085,0.47114,0.24875,1.57856,2.79202,1.90325,0.00156798,0.00156798,0.00156798
8,165.679,1.38069,1.55618,1.61068,0.64427,0.62128,0.65092,0.33898,1.58375,1.88338,1.86248,0.00155148,0.00155148,0.00155148
9,189.082,1.3082,1.51696,1.56277,0.63729,0.66908,0.67097,0.36298,1.47296,1.53484,1.77904,0.00153497,0.00153497,0.00153497
10,213.576,1.32238,1.46351,1.5541,0.65342,0.59026,0.66185,0.39225,1.49018,1.5616,1.78743,0.00151847,0.00151847,0.00151847
11,242.736,1.26864,1.40199,1.52235,0.61854,0.67721,0.65025,0.37972,1.39429,1.57815,1.70438,0.00150197,0.00150197,0.00150197
12,271.051,1.22865,1.36147,1.49869,0.71481,0.646,0.71948,0.4264,1.36829,1.35328,1.73056,0.00148546,0.00148546,0.00148546
13,300.432,1.19092,1.34677,1.47723,0.69599,0.6508,0.6906,0.4144,1.33,1.3721,1.62684,0.00146896,0.00146896,0.00146896
14,329.23,1.18222,1.32901,1.48017,0.58659,0.63599,0.56542,0.32815,1.36936,1.63141,1.69876,0.00145246,0.00145246,0.00145246
15,352.937,1.14878,1.25668,1.44836,0.67775,0.66459,0.70468,0.42072,1.33495,1.45445,1.63824,0.00143595,0.00143595,0.00143595
16,376.449,1.14468,1.2311,1.44053,0.76117,0.70066,0.75454,0.45926,1.31778,1.32098,1.59157,0.00141945,0.00141945,0.00141945
17,400.282,1.15584,1.2586,1.45176,0.71103,0.74034,0.7254,0.42577,1.33514,1.22207,1.62601,0.00140295,0.00140295,0.00140295
18,422.996,1.1572,1.24055,1.45124,0.62358,0.69985,0.64917,0.40012,1.30056,1.41266,1.6379,0.00138644,0.00138644,0.00138644
19,445.76,1.11857,1.19974,1.42774,0.75361,0.72464,0.79741,0.49719,1.22668,1.13119,1.5795,0.00136994,0.00136994,0.00136994
20,468.575,1.10428,1.14044,1.41847,0.70398,0.68534,0.70672,0.43638,1.32819,1.20863,1.68177,0.00135344,0.00135344,0.00135344
